2023-05-02 at 19:39:22 | INFO | 952859259 --> home page
2023-05-02 at 19:39:45 | INFO | 952859259 --> home page
2023-05-02 at 19:40:20 | INFO | 952859259 --> help page
2023-05-02 at 19:40:23 | INFO | 952859259 --> home page
2023-05-02 at 19:40:27 | INFO | 952859259 (disastah2004) started surfing
2023-05-02 at 19:45:51 | INFO | users loaded
2023-05-02 at 19:45:51 | INFO | topics loaded
2023-05-02 at 19:45:51 | INFO | 952859259 --> home page
2023-05-02 at 19:49:05 | INFO | users loaded
2023-05-02 at 19:49:05 | INFO | topics loaded
2023-05-02 at 19:49:05 | INFO | 952859259 --> home page
2023-05-02 at 19:52:42 | INFO | users loaded
2023-05-02 at 19:52:43 | INFO | topics loaded
2023-05-02 at 19:52:43 | INFO | 952859259 (disastah2004) started surfing
2023-05-02 at 19:53:15 | INFO | 952859259 (disastah2004) started surfing
2023-05-02 at 19:57:46 | INFO | 873373148 (d1m4p) started surfing
2023-05-02 at 19:57:55 | INFO | 873373148 --> home page
2023-05-02 at 19:57:56 | INFO | 873373148 --> my topics page
2023-05-02 at 19:58:01 | INFO | 873373148 --> my topics page
2023-05-02 at 19:58:06 | INFO | 873373148 --> topic 1 page
2023-05-02 at 19:58:07 | INFO | 873373148 --> topic 1 page
2023-05-02 at 20:01:36 | INFO | 952859259 (disastah2004) started surfing
2023-05-02 at 20:16:58 | INFO | 952859259 --> home page
2023-05-02 at 20:18:26 | INFO | 952859259 (disastah2004) started surfing
2023-05-02 at 20:19:26 | INFO | 952859259 --> home page
2023-05-02 at 20:19:44 | INFO | 952859259 --> my topics page
2023-05-02 at 20:19:50 | INFO | 952859259 --> topic 0 page
2023-05-02 at 20:19:52 | INFO | 952859259 --> my topics page
2023-05-02 at 20:20:07 | INFO | 952859259 --> home page
2023-05-02 at 20:20:22 | INFO | 952859259 --> my topics page
2023-05-02 at 20:20:29 | INFO | 952859259 --> home page
2023-05-02 at 20:20:30 | INFO | 952859259 --> my topics page
2023-05-02 at 20:25:10 | INFO | 952859259 --> my topics page
2023-05-02 at 20:26:56 | INFO | 952859259 --> home page
2023-05-02 at 20:26:58 | INFO | 952859259 --> my topics page
2023-05-02 at 20:27:08 | INFO | 952859259 --> my topics page
2023-05-02 at 20:27:16 | INFO | 952859259 --> topic 3 page
2023-05-02 at 20:27:18 | INFO | 952859259 --> my topics page
2023-05-02 at 20:27:19 | INFO | 952859259 --> topic 2 page
2023-05-02 at 20:27:20 | INFO | 952859259 --> my topics page
2023-05-02 at 20:27:31 | INFO | 952859259 --> home page
2023-05-02 at 20:27:32 | INFO | 952859259 --> my topics page
2023-05-02 at 20:27:37 | INFO | 952859259 --> my topics page
2023-05-02 at 20:29:57 | INFO | users loaded
2023-05-02 at 20:29:57 | INFO | topics loaded
2023-05-02 at 20:29:57 | INFO | 952859259 --> home page
2023-05-02 at 20:29:59 | INFO | 952859259 --> my topics page
2023-05-02 at 20:30:00 | INFO | 952859259 --> topic 4 page
2023-05-02 at 20:30:02 | INFO | 952859259 --> my topics page
2023-05-02 at 20:30:30 | INFO | 952859259 --> my topics page
2023-05-02 at 20:32:31 | INFO | users loaded
2023-05-02 at 20:32:31 | INFO | topics loaded
2023-05-02 at 20:32:31 | INFO | 952859259 --> home page
2023-05-02 at 20:32:32 | INFO | 952859259 --> my topics page
2023-05-02 at 20:32:45 | INFO | users loaded
2023-05-02 at 20:32:45 | INFO | topics loaded
2023-05-02 at 20:32:45 | INFO | 952859259 --> home page
2023-05-02 at 20:32:46 | INFO | 952859259 --> my topics page
